Score, Title, Reviews Count, Link, Release Date
61.44,61.44,Frank Thomas Big Hurt Baseball,8,https://segaretro.org/Frank_Thomas_Big_Hurt_Baseball,1995-06-01
60.06,60.06,Frogger,1,https://segaretro.org/Frogger,1998-10-01
63.78,63.78,From TV Animation Slam Dunk: Kyougou Makkou Taiketsu!,4,https://segaretro.org/From_TV_Animation_Slam_Dunk:_Kyougou_Makkou_Taiketsu!,1995-04-28
61.43,61.43,Fun 'n' Games,7,https://segaretro.org/Fun_%27n%27_Games,1993-12-01
35.03,35.03,Funny World & Balloon Boy,2,https://segaretro.org/Funny_World_%26_Balloon_Boy,1993-06-01
68.95,68.95,Fushigi no Umi no Nadia,5,https://segaretro.org/Fushigi_no_Umi_no_Nadia,1991-03-19
56.20,56.20,G-LOC: Air Battle,31,https://segaretro.org/G-LOC:_Air_Battle,1993-01-21
75.13,75.13,Gaiares,21,https://segaretro.org/Gaiares,1990-12-26
68.37,68.37,Gain Ground,25,https://segaretro.org/Gain_Ground,1991-01-03
77.90,77.90,Galahad,28,https://segaretro.org/Galahad,1992-09-01
70.84,70.84,Gambler Jiko Chuushinha: Katayama Masayuki no Mahjong Doujou,6,https://segaretro.org/Gambler_Jiko_Chuushinha:_Katayama_Masayuki_no_Mahjong_Doujou,1990-12-14
67.13,67.13,Garfield: Caught in the Act,20,https://segaretro.org/Garfield:_Caught_in_the_Act,1995-11-01
69.57,69.57,Garfield: The Lost Levels,2,https://segaretro.org/Garfield:_The_Lost_Levels,
78.32,78.32,Gargoyles,15,https://segaretro.org/Gargoyles,1995-11-01
52.26,52.26,Garry Kitchen's Super Battletank: War in the Gulf,16,https://segaretro.org/Garry_Kitchen%27s_Super_Battletank:_War_in_the_Gulf,1992-12-01
76.30,76.30,Gauntlet IV,37,https://segaretro.org/Gauntlet_IV,1993-09-17
68.42,68.42,Gemfire,15,https://segaretro.org/Gemfire,1992-06-25
75.57,75.57,General Chaos,44,https://segaretro.org/General_Chaos,1993-08-01
69.82,69.82,Generations Lost,23,https://segaretro.org/Generations_Lost,1994-11-01
67.18,67.18,Genghis Khan II: Clan of the Gray Wolf,12,https://segaretro.org/Genghis_Khan_II:_Clan_of_the_Gray_Wolf,1993-03-25
52.27,52.27,George Foreman's KO Boxing,14,https://segaretro.org/George_Foreman%27s_KO_Boxing,1993-01-01
69.11,69.11,Ghostbusters,36,https://segaretro.org/Ghostbusters_(Mega_Drive),1990-06-30
86.89,86.89,Ghouls'n Ghosts,37,https://segaretro.org/Ghouls%27n_Ghosts,1989-08-03
77.13,77.13,Gods,43,https://segaretro.org/Gods,1992-11-01
81.06,81.06,Golden Axe,36,https://segaretro.org/Golden_Axe,1989-12-23
73.92,73.92,Golden Axe II,46,https://segaretro.org/Golden_Axe_II,1991-12-01
66.07,66.07,Golden Axe III,24,https://segaretro.org/Golden_Axe_III,1993-06-25
59.51,59.51,Goofy's Hysterical History Tour,19,https://segaretro.org/Goofy%27s_Hysterical_History_Tour,1994-01-01
60.88,60.88,Gouketsuji Ichizoku,6,https://segaretro.org/Gouketsuji_Ichizoku,1994-11-18
75.14,75.14,Granada,25,https://segaretro.org/Granada,1990-11-16
68.68,68.68,GrandSlam: The Tennis Tournament '92,38,https://segaretro.org/GrandSlam:_The_Tennis_Tournament_%2792,1992-06-12
75.25,75.25,Greatest Heavyweights,30,https://segaretro.org/Greatest_Heavyweights,1993-12-01
72.15,72.15,Greendog: The Beached Surfer Dude!,36,https://segaretro.org/Greendog:_The_Beached_Surfer_Dude!,1992-09-01
62.14,62.14,Grind Stormer,18,https://segaretro.org/Grind_Stormer,1994-03-01
56.72,56.72,Growl,21,https://segaretro.org/Growl,1991-06-01
41.62,41.62,Gunship,13,https://segaretro.org/Gunship,1994-01-01
84.38,84.38,Gunstar Heroes,43,https://segaretro.org/Gunstar_Heroes,1993-09-09
79.80,79.80,Gynoug,45,https://segaretro.org/Gynoug,1991-01-25
66.08,66.08,Hard Drivin',35,https://segaretro.org/Hard_Drivin%27,1990-12-01
74.17,74.17,HardBall '94,18,https://segaretro.org/HardBall_%2794,1994-07-01
72.33,72.33,HardBall '95,5,https://segaretro.org/HardBall_%2795,1995-06-01
70.74,70.74,HardBall!,17,https://segaretro.org/HardBall!,1991-06-01
60.06,60.06,Harry Potter,1,https://segaretro.org/Harry_Potter,
73.22,73.22,Haunting Starring Polterguy,33,https://segaretro.org/Haunting_Starring_Polterguy,1993-06-01
45.57,45.57,Heavy Nova,7,https://segaretro.org/Heavy_Nova,1991-12-01
64.97,64.97,Heavy Unit: Mega Drive Special,22,https://segaretro.org/Heavy_Unit:_Mega_Drive_Special,1990-12-26
80.30,80.30,Hellfire,41,https://segaretro.org/Hellfire,1990-09-28
68.17,68.17,Hercules 2,6,https://segaretro.org/Hercules_2,
69.52,69.52,Herzog Zwei,30,https://segaretro.org/Herzog_Zwei,1989-12-15
79.08,79.08,Hi-Octane,2,https://segaretro.org/Hi-Octane,
65.34,65.34,High Seas Havoc,32,https://segaretro.org/High_Seas_Havoc,1994-01-01
48.52,48.52,Hit the Ice,11,https://segaretro.org/Hit_the_Ice,1993-02-01
54.63,54.63,Hokuto no Ken: Shin Seikimatsu Kyuuseishu Densetsu,5,https://segaretro.org/Hokuto_no_Ken:_Shin_Seikimatsu_Kyuuseishu_Densetsu,1989-07-01
51.29,51.29,Home Alone,19,https://segaretro.org/Home_Alone,1992-11-01
58.36,58.36,Home Alone 2: Lost in New York,5,https://segaretro.org/Home_Alone_2:_Lost_in_New_York,1993-12-01
73.37,73.37,Honoo no Toukyuuji Dodge Danpei,11,https://segaretro.org/Honoo_no_Toukyuuji_Dodge_Danpei,1992-07-10
67.98,67.98,Hook,22,https://segaretro.org/Hook,1993-08-01
77.58,77.58,Hua Mu Lan: Mulan,4,https://segaretro.org/Hua_Mu_Lan:_Mulan,
57.46,57.46,Hurricanes,10,https://segaretro.org/Hurricanes,1994-07-01
54.38,54.38,Hyokkori Hyoutanjima: Daitouryou o Mezase!,6,https://segaretro.org/Hyokkori_Hyoutanjima:_Daitouryou_o_Mezase!,1992-08-07
63.00,63.00,Hyper Dunk: The Playoff Edition,38,https://segaretro.org/Hyper_Dunk:_The_Playoff_Edition,1994-03-01
66.05,66.05,IMG International Tour Tennis,25,https://segaretro.org/IMG_International_Tour_Tennis,1994-06-01
69.79,69.79,Indiana Jones and the Last Crusade,27,https://segaretro.org/Indiana_Jones_and_the_Last_Crusade,1992-11-01
74.73,74.73,Insector X,22,https://segaretro.org/Insector_X,1990-09-07
38.56,38.56,Instruments of Chaos Starring Young Indiana Jones,9,https://segaretro.org/Instruments_of_Chaos_Starring_Young_Indiana_Jones,1994-03-01
64.67,64.67,International Rugby,12,https://segaretro.org/International_Rugby,1993-10-01
79.92,79.92,International Superstar Soccer Deluxe,12,https://segaretro.org/International_Superstar_Soccer_Deluxe,1996-09-01
70.18,70.18,Ishido: The Way of Stones,11,https://segaretro.org/Ishido:_The_Way_of_Stones,1990-12-01
62.27,62.27,Izzy's Quest for the Olympic Rings,13,https://segaretro.org/Izzy%27s_Quest_for_the_Olympic_Rings,1995-04-01
56.79,56.79,J.League Champion Soccer,4,https://segaretro.org/J.League_Champion_Soccer,1993-02-26
74.83,74.83,J.League Pro Striker,20,https://segaretro.org/J.League_Pro_Striker,1993-04-23
70.16,70.16,J.League Pro Striker 2,6,https://segaretro.org/J.League_Pro_Striker_2,1994-07-15
73.28,73.28,J.League Pro Striker Kanzenban,3,https://segaretro.org/J.League_Pro_Striker_Kanzenban,1993-12-17
68.07,68.07,Jack Nicklaus' Power Challenge Golf,17,https://segaretro.org/Jack_Nicklaus%27_Power_Challenge_Golf,1993-03-01
52.69,52.69,James "Buster" Douglas Knockout Boxing,36,https://segaretro.org/James_%22Buster%22_Douglas_Knockout_Boxing_(Mega_Drive),1990-03-23
69.50,69.50,James Bond 007: The Duel,40,https://segaretro.org/James_Bond_007:_The_Duel,1993-03-01
81.41,81.41,James Pond 3: Operation Starfish,31,https://segaretro.org/James_Pond_3:_Operation_Starfish,1993-12-01
81.76,81.76,James Pond II: Codename RoboCod,42,https://segaretro.org/James_Pond_II:_Codename_RoboCod,1991-06-01
70.64,70.64,James Pond: Underwater Agent,29,https://segaretro.org/James_Pond:_Underwater_Agent,1991-04-01
69.89,69.89,Jammit,9,https://segaretro.org/Jammit,1994-05-01
67.85,67.85,Janou Touryuumon,6,https://segaretro.org/Janou_Touryuumon,1993-11-05
60.55,60.55,Jantei Monogatari,6,https://segaretro.org/Jantei_Monogatari,1991-03-29
56.26,56.26,Jeopardy!,4,https://segaretro.org/Jeopardy!_(GameTek),1993-02-01
45.85,45.85,Jeopardy! Deluxe Edition,5,https://segaretro.org/Jeopardy!_Deluxe_Edition,1994-04-01
55.45,55.45,Jeopardy! Sports Edition,5,https://segaretro.org/Jeopardy!_Sports_Edition,1994-05-01
55.22,55.22,Jerry Glanville's Pigskin Footbrawl,12,https://segaretro.org/Jerry_Glanville%27s_Pigskin_Footbrawl,1992-12-18
64.50,64.50,Jewel Master,28,https://segaretro.org/Jewel_Master,1991-08-30
81.19,81.19,Jimmy White's Whirlwind Snooker,16,https://segaretro.org/Jimmy_White%27s_Whirlwind_Snooker,1994-11-01
40.04,40.04,Jiu Ji Ma Jiang II: Ye Yan Bian,1,https://segaretro.org/Jiu_Ji_Ma_Jiang_II:_Ye_Yan_Bian,
64.20,64.20,Joe & Mac,14,https://segaretro.org/Joe_%26_Mac,1994-01-01
69.07,69.07,Joe Montana Football,26,https://segaretro.org/Joe_Montana_Football_(Mega_Drive),1991-01-01
75.86,75.86,Joe Montana II Sports Talk Football,38,https://segaretro.org/Joe_Montana_II_Sports_Talk_Football,1991-11-01
88.01,88.01,John Madden Football,28,https://segaretro.org/John_Madden_Football,1990-11-01
86.77,86.77,John Madden Football '92,40,https://segaretro.org/John_Madden_Football_%2792,1991-12-01
86.96,86.96,John Madden Football '93,28,https://segaretro.org/John_Madden_Football_%2793,1992-12-01
95.09,95.09,John Madden Football: Championship Edition,1,https://segaretro.org/John_Madden_Football:_Championship_Edition,1992-12-01
66.51,66.51,Jordan vs Bird,31,https://segaretro.org/Jordan_vs_Bird,1992-04-01
30.03,30.03,Joshua & The Battle of Jericho,1,https://segaretro.org/Joshua_%26_The_Battle_of_Jericho,1994-06-01
73.65,73.65,Judge Dredd,28,https://segaretro.org/Judge_Dredd,1995-06-16
67.24,67.24,Junction,17,https://segaretro.org/Junction,1990-11-25
88.37,88.37,Jungle Strike,53,https://segaretro.org/Jungle_Strike,1993-08-01
73.67,73.67,Jurassic Park,48,https://segaretro.org/Jurassic_Park_(Mega_Drive),1993-08-01
64.06,64.06,Jurassic Park: Rampage Edition,20,https://segaretro.org/Jurassic_Park:_Rampage_Edition,1994-10-01
60.78,60.78,Justice League Task Force,17,https://segaretro.org/Justice_League_Task_Force,1995-01-01
46.83,46.83,Ka-Ge-Ki,22,https://segaretro.org/Ka-Ge-Ki,1991-04-26
68.54,68.54,Kawasaki Superbike Challenge,24,https://segaretro.org/Kawasaki_Superbike_Challenge,1994-12-01
66.57,66.57,Kick Off 3: European Challenge,16,https://segaretro.org/Kick_Off_3:_European_Challenge,1994-11-26
79.14,79.14,Kid Chameleon,43,https://segaretro.org/Kid_Chameleon,1992-03-01
46.12,46.12,Kidou Keisatsu Patlabor: 98-Shiki Kidou Seyo!,4,https://segaretro.org/Kidou_Keisatsu_Patlabor:_98-Shiki_Kidou_Seyo!,1992-10-23
52.45,52.45,King of the Monsters,27,https://segaretro.org/King_of_the_Monsters,1993-03-01
60.08,60.08,King of the Monsters 2,12,https://segaretro.org/King_of_the_Monsters_2,1994-10-01
60.96,60.96,King Salmon,22,https://segaretro.org/King_Salmon,1992-07-01
71.12,71.12,King's Bounty: The Conqueror's Quest,22,https://segaretro.org/King%27s_Bounty:_The_Conqueror%27s_Quest,1991-07-01
63.65,63.65,Kishi Densetsu,6,https://segaretro.org/Kishi_Densetsu,1993-07-30
76.77,76.77,Klax,26,https://segaretro.org/Klax,1990-10-01
70.10,70.10,Klax,11,https://segaretro.org/Klax_(Namco),1990-09-07
80.09,80.09,Krusty's Fun House,29,https://segaretro.org/Krusty%27s_Fun_House,1992-06-01
62.15,62.15,Kujaku Ou 2: Geneijou,4,https://segaretro.org/Kujaku_Ou_2:_Geneijou,1989-11-25
66.78,66.78,Kyuukai Douchuuki,6,https://segaretro.org/Kyuukai_Douchuuki,1991-07-12
63.76,63.76,La Russa Baseball 95,4,https://segaretro.org/La_Russa_Baseball_95,1994-09-01
77.22,77.22,Lakers versus Celtics and the NBA Playoffs,20,https://segaretro.org/Lakers_versus_Celtics_and_the_NBA_Playoffs,1990-11-01
88.48,88.48,Landstalker: The Treasures of King Nole,45,https://segaretro.org/Landstalker:_The_Treasures_of_King_Nole,1992-10-30
79.08,79.08,Langrisser,21,https://segaretro.org/Langrisser,1991-04-26
76.73,76.73,Langrisser II,3,https://segaretro.org/Langrisser_II,1994-08-26
36.33,36.33,Last Action Hero,3,https://segaretro.org/Last_Action_Hero,1993-11-01
47.09,47.09,Last Battle,22,https://segaretro.org/Last_Battle,1989-09-01
80.48,80.48,Lemmings,37,https://segaretro.org/Lemmings,1992-11-01
83.21,83.21,Lemmings 2: The Tribes,26,https://segaretro.org/Lemmings_2:_The_Tribes,1994-06-01
79.59,79.59,Lethal Enforcers,26,https://segaretro.org/Lethal_Enforcers,1993-06-01
78.12,78.12,Lethal Enforcers II: Gun Fighters,21,https://segaretro.org/Lethal_Enforcers_II:_Gun_Fighters,1994-10-01
75.36,75.36,LHX Attack Chopper,39,https://segaretro.org/LHX_Attack_Chopper,1992-06-01
56.26,56.26,Liberty or Death,5,https://segaretro.org/Liberty_or_Death,1994-08-01
79.96,79.96,Light Crusader,31,https://segaretro.org/Light_Crusader,1995-05-26
50.05,50.05,Ling Huan Daoshi,1,https://segaretro.org/Ling_Huan_Daoshi,
50.05,50.05,Long,1,https://segaretro.org/Long,
67.62,67.62,Lord Monarch: Tokoton Sentou Densetsu,5,https://segaretro.org/Lord_Monarch:_Tokoton_Sentou_Densetsu,1994-06-24
69.60,69.60,Lotus II: RECS,33,https://segaretro.org/Lotus_II:_RECS,1993-12-01
78.37,78.37,Lotus Turbo Challenge,35,https://segaretro.org/Lotus_Turbo_Challenge,1992-06-01
74.07,74.07,M-1 Abrams Battle Tank,26,https://segaretro.org/M-1_Abrams_Battle_Tank,1991-06-01
74.96,74.96,M.U.S.H.A.,30,https://segaretro.org/M.U.S.H.A.,1990-12-21
60.06,60.06,Ma Qiao E Mo Ta: Devilish Mahjong Tower,1,https://segaretro.org/Ma_Qiao_E_Mo_Ta:_Devilish_Mahjong_Tower,
77.04,77.04,Madden NFL 96,14,https://segaretro.org/Madden_NFL_96,1995-06-01
81.29,81.29,Madden NFL 97,7,https://segaretro.org/Madden_NFL_97_(Mega_Drive),1996-09-14
66.07,66.07,Madden NFL 98,2,https://segaretro.org/Madden_NFL_98_(Mega_Drive),1997-10-01
83.31,83.31,Madden NFL '94,26,https://segaretro.org/Madden_NFL_%2794,1993-11-12
85.37,85.37,Madden NFL '95,19,https://segaretro.org/Madden_NFL_%2795,1994-11-01
67.99,67.99,Madou Monogatari I,3,https://segaretro.org/Madou_Monogatari_I,1996-03-22
76.08,76.08,Magic Bubble,1,https://segaretro.org/Magic_Bubble,
70.94,70.94,Magical Hat no Buttobi Turbo! Daibouken,12,https://segaretro.org/Magical_Hat_no_Buttobi_Turbo!_Daibouken,1990-12-15
75.69,75.69,Magical Taruruto-kun,14,https://segaretro.org/Magical_Taruruto-kun_(Mega_Drive),1992-04-24
57.81,57.81,Mahjong Cop Ryuu: Hakurou no Yabou,5,https://segaretro.org/Mahjong_Cop_Ryuu:_Hakurou_no_Yabou,1989-12-14
62.67,62.67,Mallet Legend,3,https://segaretro.org/Mallet_Legend,1993-06-01
60.14,60.14,Mamono Hunter Youko: Dai 7 no Keishou,11,https://segaretro.org/Mamono_Hunter_Youko:_Dai_7_no_Keishou,1991-03-22
74.20,74.20,Marble Madness,35,https://segaretro.org/Marble_Madness,1991-11-01
62.14,62.14,Mario Andretti Racing,28,https://segaretro.org/Mario_Andretti_Racing,1994-06-01
69.57,69.57,Mario Lemieux Hockey,27,https://segaretro.org/Mario_Lemieux_Hockey,1991-12-01
75.33,75.33,Marko's Magic Football,34,https://segaretro.org/Marko%27s_Magic_Football,1994-06-01
72.43,72.43,Marsupilami,28,https://segaretro.org/Marsupilami,1995-06-01
74.34,74.34,Marvel Land,37,https://segaretro.org/Marvel_Land,1991-06-28
60.86,60.86,Mary Shelley's Frankenstein,5,https://segaretro.org/Mary_Shelley%27s_Frankenstein,1994-12-01
65.87,65.87,Master of Monsters,14,https://segaretro.org/Master_of_Monsters,1991-07-26
57.27,57.27,Master of Weapon,13,https://segaretro.org/Master_of_Weapon,1991-09-27
46.94,46.94,Maten no Soumetsu,3,https://segaretro.org/Maten_no_Soumetsu,1993-12-29
30.03,30.03,Math Blaster: Episode 1,1,https://segaretro.org/Math_Blaster:_Episode_1,1994-09-14
77.11,77.11,Mazin Saga: Mutant Fighter,28,https://segaretro.org/Mazin_Saga:_Mutant_Fighter,1993-02-26
73.55,73.55,McDonald's Treasure Land Adventure,34,https://segaretro.org/McDonald%27s_Treasure_Land_Adventure,1993-09-23
50.05,50.05,Mega 6 Vol. 3,1,https://segaretro.org/Mega_6_Vol._3,1995-06-01
81.78,81.78,Mega Bomberman,28,https://segaretro.org/Mega_Bomberman,1994-06-01
50.05,50.05,Mega Games 2,1,https://segaretro.org/Mega_Games_2,1993-06-01
50.05,50.05,Mega Games 6,1,https://segaretro.org/Mega_Games_6,1995-06-01
50.05,50.05,Mega Games 6 Vol. 2,1,https://segaretro.org/Mega_Games_6_Vol._2,1995-06-01
63.06,63.06,Mega Games I,4,https://segaretro.org/Mega_Games_I,1992-10-01
81.21,81.21,Mega Lo Mania,36,https://segaretro.org/Mega_Lo_Mania,1993-02-01
69.80,69.80,Mega Man: The Wily Wars,18,https://segaretro.org/Mega_Man:_The_Wily_Wars,1994-10-20
72.35,72.35,Mega SWIV,23,https://segaretro.org/Mega_SWIV,1995-06-01
80.48,80.48,Mega Turrican,29,https://segaretro.org/Mega_Turrican,1994-03-01
75.40,75.40,Megapanel,15,https://segaretro.org/Megapanel,1990-11-22
60.69,60.69,Menacer 6-Game Cartridge,9,https://segaretro.org/Menacer_6-Game_Cartridge,1992-10-01
44.04,44.04,Meng Huan Shui Guo Pan: 777 Casino,2,https://segaretro.org/Meng_Huan_Shui_Guo_Pan:_777_Casino,
73.64,73.64,Mercs,41,https://segaretro.org/Mercs,1991-09-27
54.05,54.05,Metal Fangs,5,https://segaretro.org/Metal_Fangs,1993-12-17
76.82,76.82,Michael Jackson's Moonwalker,33,https://segaretro.org/Michael_Jackson%27s_Moonwalker,1990-08-25
84.35,84.35,Mick & Mack as the Global Gladiators,45,https://segaretro.org/Mick_%26_Mack_as_the_Global_Gladiators,1992-11-01
83.15,83.15,Mickey Mania: The Timeless Adventures of Mickey Mouse,39,https://segaretro.org/Mickey_Mania:_The_Timeless_Adventures_of_Mickey_Mouse,1994-06-01
61.21,61.21,Mickey's Ultimate Challenge,7,https://segaretro.org/Mickey%27s_Ultimate_Challenge,1994-03-01
84.28,84.28,Micro Machines,50,https://segaretro.org/Micro_Machines,1993-06-01
85.22,85.22,Micro Machines 2: Turbo Tournament,30,https://segaretro.org/Micro_Machines_2:_Turbo_Tournament,1994-11-25
78.31,78.31,Micro Machines: Military,11,https://segaretro.org/Micro_Machines:_Military,1996-06-01
87.03,87.03,Micro Machines: Turbo Tournament '96,20,https://segaretro.org/Micro_Machines:_Turbo_Tournament_%2796,1995-10-20
71.50,71.50,Midnight Resistance,28,https://segaretro.org/Midnight_Resistance,1991-03-29
72.11,72.11,MiG-29 Fighter Pilot,35,https://segaretro.org/MiG-29_Fighter_Pilot,1993-06-01
74.43,74.43,Might and Magic: Gates to Another World,20,https://segaretro.org/Might_and_Magic:_Gates_to_Another_World,1991-07-01
51.18,51.18,Mighty Morphin Power Rangers,17,https://segaretro.org/Mighty_Morphin_Power_Rangers_(Mega_Drive),1994-10-01
58.53,58.53,Mighty Morphin Power Rangers: The Movie,12,https://segaretro.org/Mighty_Morphin_Power_Rangers:_The_Movie_(Mega_Drive),1995-06-15
68.87,68.87,Mike Ditka Power Football,20,https://segaretro.org/Mike_Ditka_Power_Football,1991-10-01
61.42,61.42,Minnesota Fats: Pool Legend,6,https://segaretro.org/Minnesota_Fats:_Pool_Legend_(Mega_Drive),1995-06-01
68.56,68.56,MLBPA Baseball,8,https://segaretro.org/MLBPA_Baseball,1994-06-01
60.82,60.82,Monopoly,11,https://segaretro.org/Monopoly_(Mega_Drive),1992-09-01
48.33,48.33,Monster Truck Wars,3,https://segaretro.org/Monster_Truck_Wars,
75.82,75.82,Monster World IV,13,https://segaretro.org/Monster_World_IV,1994-04-01
82.87,82.87,Mortal Kombat,46,https://segaretro.org/Mortal_Kombat,1993-09-13
88.07,88.07,Mortal Kombat 3,27,https://segaretro.org/Mortal_Kombat_3,1995-10-01
67.07,67.07,Mortal Kombat 5,4,https://segaretro.org/Mortal_Kombat_5,
86.82,86.82,Mortal Kombat II,35,https://segaretro.org/Mortal_Kombat_II,1994-09-09
77.58,77.58,Mr. Nutz,24,https://segaretro.org/Mr._Nutz,1994-11-01
59.76,59.76,Ms. Pac-Man,10,https://segaretro.org/Ms._Pac-Man,1991-07-01
78.72,78.72,Muhammad Ali Heavyweight Boxing,34,https://segaretro.org/Muhammad_Ali_Heavyweight_Boxing,1992-12-01
74.63,74.63,Mutant League Football,33,https://segaretro.org/Mutant_League_Football,1993-06-01
71.54,71.54,Mutant League Hockey,34,https://segaretro.org/Mutant_League_Hockey,1994-03-01
67.90,67.90,Mystic Defender,23,https://segaretro.org/Mystic_Defender,1989-12-01
66.64,66.64,Mystical Fighter,24,https://segaretro.org/Mystical_Fighter,1991-10-25
62.72,62.72,Nakajima Satoru Kanshuu F1 Grand Prix,16,https://segaretro.org/Nakajima_Satoru_Kanshuu_F1_Grand_Prix,1991-12-20
60.11,60.11,Nakajima Satoru Kanshuu F1 Super License,7,https://segaretro.org/Nakajima_Satoru_Kanshuu_F1_Super_License,1992-12-11
68.13,68.13,NBA Action '94,8,https://segaretro.org/NBA_Action_%2794,1994-03-01
69.42,69.42,NBA Action '95 Starring David Robinson,15,https://segaretro.org/NBA_Action_%2795_Starring_David_Robinson,1995-03-23
55.83,55.83,NBA All-Star Challenge,18,https://segaretro.org/NBA_All-Star_Challenge,1993-02-01
76.18,76.18,NBA Hang Time,5,https://segaretro.org/NBA_Hang_Time,1996-11-06
84.34,84.34,NBA Jam,45,https://segaretro.org/NBA_Jam,1994-03-04
82.74,82.74,NBA Jam Tournament Edition,27,https://segaretro.org/NBA_Jam_Tournament_Edition,1995-02-23
81.13,81.13,NBA Live 95,24,https://segaretro.org/NBA_Live_95,1994-10-28
87.09,87.09,NBA Live 96,16,https://segaretro.org/NBA_Live_96,1995-06-01
82.76,82.76,NBA Live 97,12,https://segaretro.org/NBA_Live_97_(Mega_Drive),1996-11-20
68.67,68.67,NBA Live 98,3,https://segaretro.org/NBA_Live_98_(Mega_Drive),1997-12-02
71.64,71.64,NBA Showdown '94,35,https://segaretro.org/NBA_Showdown_%2794,1994-03-01
60.06,60.06,NCAA Final Four Basketball,1,https://segaretro.org/NCAA_Final_Four_Basketball,1994-06-01
60.06,60.06,NCAA Football,1,https://segaretro.org/NCAA_Football,1994-12-01
38.93,38.93,Nekketsu Kouko Dodgeball Bu: Soccer Hen MD,8,https://segaretro.org/Nekketsu_Kouko_Dodgeball_Bu:_Soccer_Hen_MD,1992-08-07
71.12,71.12,New 3D Golf Simulation: Devil's Course,4,https://segaretro.org/New_3D_Golf_Simulation:_Devil%27s_Course,1994-01-28
75.83,75.83,New 3D Golf Simulation: Harukanaru Augusta,3,https://segaretro.org/New_3D_Golf_Simulation:_Harukanaru_Augusta,1993-12-17
70.72,70.72,New 3D Golf Simulation: Waialae no Kiseki,3,https://segaretro.org/New_3D_Golf_Simulation:_Waialae_no_Kiseki,1994-02-25
60.48,60.48,Newman-Haas IndyCar Featuring Nigel Mansell,24,https://segaretro.org/Newman-Haas_IndyCar_Featuring_Nigel_Mansell,1994-12-01
45.05,45.05,NFL 98,1,https://segaretro.org/NFL_98,1997-10-21
82.08,82.08,NFL '95,4,https://segaretro.org/NFL_%2795,1994-11-15
73.92,73.92,NFL Football '94 Starring Joe Montana,11,https://segaretro.org/NFL_Football_%2794_Starring_Joe_Montana,1993-11-01
74.52,74.52,NFL Quarterback Club,25,https://segaretro.org/NFL_Quarterback_Club,1994-12-01
76.67,76.67,NFL Quarterback Club '96,9,https://segaretro.org/NFL_Quarterback_Club_%2796,1995-06-01
74.68,74.68,NFL Sports Talk Football '93 Starring Joe Montana,22,https://segaretro.org/NFL_Sports_Talk_Football_%2793_Starring_Joe_Montana,1992-11-01
59.53,59.53,NHK Taiga Drama: Taiheiki,6,https://segaretro.org/NHK_Taiga_Drama:_Taiheiki,1991-12-13
87.65,87.65,NHL 95,21,https://segaretro.org/NHL_95,1994-09-26
87.49,87.49,NHL 96,23,https://segaretro.org/NHL_96,1995-10-06
83.80,83.80,NHL 97,17,https://segaretro.org/NHL_97_(Mega_Drive),1996-09-24
70.07,70.07,NHL 98,4,https://segaretro.org/NHL_98_(Mega_Drive),1997-10-31
66.26,66.26,NHL All-Star Hockey '95,10,https://segaretro.org/NHL_All-Star_Hockey_%2795,1995-02-01
78.48,78.48,NHL Hockey,10,https://segaretro.org/NHL_Hockey_(Mega_Drive),1991-08-01
85.79,85.79,NHL Hockey '94,31,https://segaretro.org/NHL_Hockey_%2794,1993-09-01
86.08,86.08,NHLPA Hockey '93,39,https://segaretro.org/NHLPA_Hockey_%2793,1992-09-01
65.50,65.50,Nigel Mansell's World Championship Racing,17,https://segaretro.org/Nigel_Mansell%27s_World_Championship_Racing,1993-11-01
64.56,64.56,Nightmare Circus,2,https://segaretro.org/Nightmare_Circus,
68.93,68.93,Ninja Burai Densetsu,9,https://segaretro.org/Ninja_Burai_Densetsu,1991-12-05
44.75,44.75,No Escape,6,https://segaretro.org/No_Escape,1994-06-01
68.85,68.85,Nobunaga no Yabou: Bushou Fuuunroku,5,https://segaretro.org/Nobunaga_no_Yabou:_Bushou_Fuuunroku,1991-12-20
68.94,68.94,Nobunaga no Yabou: Haouden,2,https://segaretro.org/Nobunaga_no_Yabou:_Haouden,1994-02-25
63.26,63.26,Nobunaga's Ambition,11,https://segaretro.org/Nobunaga%27s_Ambition,1993-09-15
57.87,57.87,Normy's Beach Babe-O-Rama,25,https://segaretro.org/Normy%27s_Beach_Babe-O-Rama,1994-03-01
73.78,73.78,Olympic Gold,37,https://segaretro.org/Olympic_Gold,1992-06-01
63.83,63.83,Olympic Summer Games,12,https://segaretro.org/Olympic_Summer_Games,1996-05-30
61.42,61.42,Onslaught,12,https://segaretro.org/Onslaught,1991-06-01
59.31,59.31,Operation Europe: Path to Victory 1939-45,12,https://segaretro.org/Operation_Europe:_Path_to_Victory_1939-45,1993-01-16
53.38,53.38,Osomatsu-kun Hachamecha Gekijou,6,https://segaretro.org/Osomatsu-kun_Hachamecha_Gekijou,1988-12-24
63.38,63.38,Outlander,19,https://segaretro.org/Outlander,1993-03-01
68.95,68.95,OutRun,34,https://segaretro.org/OutRun,1991-06-01
57.13,57.13,OutRun 2019,30,https://segaretro.org/OutRun_2019,1993-03-01
52.28,52.28,OutRunners,23,https://segaretro.org/OutRunners,1994-05-13
62.03,62.03,P.T.O.: Pacific Theater of Operations,10,https://segaretro.org/P.T.O.:_Pacific_Theater_of_Operations,1992-09-24
