Score, Original Score, Title, Reviews Count, Link, Release Date
68.00,68.00,The Three Stooges,0,https://www.mobygames.com/game/27/the-three-stooges/,1989-10-01
0.00,0.00,Rocket Ranger,0,https://www.mobygames.com/game/45/rocket-ranger/,1990-06-01
66.00,66.00,The Three Stooges,0,https://www.mobygames.com/game/27/the-three-stooges/,1989-10-01
0.00,0.00,Rocket Ranger,0,https://www.mobygames.com/game/45/rocket-ranger/,1990-06-01
67.00,67.00,The Three Stooges,0,https://www.mobygames.com/game/27/the-three-stooges/,1989-10-01
63.00,63.00,Rocket Ranger,0,https://www.mobygames.com/game/45/rocket-ranger/,1990-06-01
